X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
248.5653076171875 278.7867126464844 125.375 1.4590297452187464 60930.0 60930.0 0.0
248.56594848632812 278.78692626953125 125.3753433227539 1.4594730963243114 60531.0 60930.0 0.9880000000000008
248.61911010742188 278.8046569824219 125.40387725830078 1.4959756706824956 60531.0 60531.0 0.0
248.73287963867188 278.85650634765625 125.46604919433594 1.5772302467375336 59815.0 60931.0 0.04400000000000001
249.0613555908203 278.9112548828125 125.56219482421875 1.8009227304837412 60931.0 60931.0 0.0
249.06716918945312 278.912841796875 125.56661224365234 1.8052367391844355 60933.0 60771.0 0.9560000000000007
249.1936492919922 278.94732666015625 125.66252899169922 1.898968382772304 60933.0 60933.0 0.0
249.19496154785156 278.94732666015625 125.6631088256836 1.8998641043245035 61032.0 60933.0 0.9880000000000008
249.3035430908203 278.94732666015625 125.71077728271484 1.973611845455599 61032.0 61032.0 0.0
249.9864959716797 279.0837707519531 126.01029205322266 2.440041081525793 61012.0 60839.0 0.21600000000000016
250.1356658935547 279.0895080566406 126.09091186523438 2.544432425669304 61416.0 61487.0 0.2800000000000002
250.68316650390625 279.2109680175781 126.3843765258789 2.92266314802949 61085.0 61475.0 0.5080000000000003
250.91494750976562 279.2686462402344 126.58763122558594 3.090767939942514 61475.0 60938.0 0.07200000000000004
251.2106170654297 279.27130126953125 126.98329162597656 3.291816341866776 61537.0 62033.0 0.8720000000000007
252.18649291992188 279.4425964355469 127.93505096435547 3.9426928616678474 62031.0 61537.0 0.08000000000000004
252.39373779296875 279.4382629394531 128.27626037597656 4.109299107777252 62030.0 62161.0 0.6120000000000004
252.49087524414062 279.4204406738281 128.44773864746094 4.194539623992423 62161.0 62673.0 0.08400000000000005
252.73532104492188 279.4673767089844 128.8092041015625 4.338165536902892 63019.0 62660.0 0.6600000000000005
252.9833984375 279.53387451171875 129.2527313232422 4.515167700676415 63119.0 63019.0 0.5480000000000004
253.28414916992188 279.6714782714844 129.67379760742188 4.713365075215713 63304.0 63119.0 0.7200000000000005
253.83297729492188 280.1186828613281 130.7078399658203 5.130716876906678 63059.0 63809.0 0.8080000000000006
253.9174346923828 280.19195556640625 130.88201904296875 5.213529909036473 63809.0 63868.0 0.7400000000000005
253.9547576904297 280.2421569824219 130.94110107421875 5.232344417862614 63861.0 65114.0 0.8680000000000007
254.15277099609375 281.5595703125 132.38360595703125 5.376443692033676 66678.0 66678.0 0.0
254.18148803710938 281.951416015625 132.7486114501953 5.362395415197698 66680.0 66827.0 0.2480000000000002
253.96421813964844 282.7328186035156 133.50674438476562 5.207104787320611 68018.0 68018.0 0.0
254.24658203125 284.1513977050781 135.25071716308594 5.001644137481021 69383.0 69432.0 0.2480000000000002
254.38180541992188 284.9971008300781 135.99334716796875 5.134671457389718 67886.0 69383.0 0.2880000000000002
254.38180541992188 285.33917236328125 136.29373168945312 5.18846072151606 67886.0 67886.0 0.0
254.38180541992188 285.33941650390625 136.29403686523438 5.188491655436227 69407.0 70883.0 0.004
254.38180541992188 285.39739990234375 136.3704376220703 5.196194201558172 70883.0 70883.0 0.0
254.38180541992188 285.6650085449219 136.625 5.183051534435889 70959.0 70959.0 0.0
254.45472717285156 286.0311584472656 136.96786499023438 5.200229452719717 72640.0 72637.0 0.8280000000000006
254.7346649169922 288.2782287597656 138.3948516845703 5.602270654241654 74721.0 74721.0 0.0
254.76206970214844 288.529052734375 138.4957275390625 5.665555311157773 74745.0 74745.0 0.0
254.82395935058594 289.4001159667969 139.24220275878906 5.706575694661281 74815.0 74815.0 0.0
254.8486785888672 289.770263671875 139.5636749267578 5.706018729997291 70889.0 74759.0 0.3160000000000002
254.86048889160156 289.93511962890625 139.72410583496094 5.7064780308623275 70889.0 72782.0 0.08400000000000005
254.82469177246094 290.5994873046875 140.42453002929688 5.742747789882972 77293.0 72860.0 0.5280000000000004
254.95941162109375 291.8946533203125 141.549560546875 5.949379351564204 71162.0 71162.0 0.0
254.92779541015625 292.31884765625 141.90586853027344 6.053767052527929 72893.0 72893.0 0.0
255.0278778076172 293.474365234375 142.875 6.345424232919492 71063.0 71063.0 0.0
255.02828979492188 293.4760437011719 142.87669372558594 6.346158424236963 72885.0 71063.0 0.9960000000000008
255.13023376464844 293.8974304199219 143.29745483398438 6.528972062287148 72885.0 72885.0 0.0
255.13040161132812 293.8992004394531 143.2987823486328 6.52962823725202 77406.0 72885.0 0.9800000000000008
255.1387481689453 293.9853820800781 143.3634796142578 6.561780810530679 77406.0 77406.0 0.0
255.13893127441406 293.9864501953125 143.36416625976562 6.5620792486747765 74907.0 77406.0 0.9960000000000008
255.1855010986328 294.2502746582031 143.53451538085938 6.6363903465551 74907.0 74907.0 0.0
255.19505310058594 294.5538635253906 143.74021911621094 6.696547042474805 75005.0 75005.0 0.0
255.2100067138672 294.9950866699219 143.90074157714844 6.661847176874345 79307.0 79307.0 0.0
255.25262451171875 295.5439147949219 144.20484924316406 6.627995657226712 79098.0 79085.0 0.8560000000000006
255.29568481445312 295.99176025390625 144.41531372070312 6.601761308296743 78284.0 79376.0 0.060000000000000026
255.35671997070312 297.48370361328125 145.51573181152344 6.691854819120622 77364.0 77364.0 0.0
255.3571319580078 297.4857482910156 145.51698303222656 6.69198498322764 80741.0 77364.0 0.9920000000000008
255.40782165527344 297.7392272949219 145.67279052734375 6.708125332497798 80741.0 80741.0 0.0
255.53326416015625 298.2880554199219 145.989501953125 6.763901231428255 80887.0 80887.0 0.0
